Iec60870DeviceType_InterrogationPeriodGroup8,354,Variable
Iec60870DeviceType_InterrogationPeriodGroup9,355,Variable
Iec60870DeviceType_InterrogationPeriodGroup10,356,Variable
Iec60870DeviceType_InterrogationPeriodGroup11,357,Variable
Iec60870DeviceType_InterrogationPeriodGroup12,358,Variable
Iec60870DeviceType_InterrogationPeriodGroup13,359,Variable
Iec60870DeviceType_InterrogationPeriodGroup14,360,Variable
Iec60870DeviceType_InterrogationPeriodGroup15,361,Variable
Iec60870DeviceType_InterrogationPeriodGroup16,362,Variable
Iec61850LogicalNodeType,370,ObjectType
Iec61850DeviceType,371,ObjectType
Iec61850DeviceType_Disabled,372,Variable
Iec61850DeviceType_Online,373,Variable
Iec61850DeviceType_Enabled,374,Variable
Iec61850DeviceType_Interrogate,375,Method
Iec61850DeviceType_InterrogateChannel,376,Method
Iec61850DeviceType_SyncClock,377,Method
Iec61850DeviceType_Select,378,Method
Iec61850DeviceType_Write,379,Method
Iec61850DeviceType_WriteParam,380,Method
Iec61850DeviceType_Model,381,Object
Iec61850DeviceType_Host,382,Variable
Iec61850DeviceType_Port,383,Variable
Iec61850ConfigurableObjectType,384,ObjectType
Iec61850ConfigurableObjectType_Reference,385,Variable
Iec61850RcbType,386,ObjectType
Iec61850RcbType_Reference,387,Variable
TelecontrolDevices_BinarySchema,15001,Variable
TelecontrolDevices_BinarySchema_DataTypeVersion,15002,Variable
Iec61850ServerType,15003,ObjectType
Iec61850ServerType_Disabled,15004,Variable
ModbusLinkProtocol,15005,DataType
ModbusLinkType_RequestDelay,15006,Variable
ModbusLinkType_Protocol,15007,Variable
ModbusLinkProtocol_EnumStrings,15008,Variable
ModbusDeviceType_ResponseTimeout,15009,Variable
Iec60870DeviceType_UtcTime,15010,Variable
Iec61850DataVariableType,15011,VariableType
Iec61850ControlObjectType,15012,ObjectType
Iec61850ServerType_Online,15013,Variable
Iec61850ServerType_Enabled,15014,Variable
Iec61850ServerType_Interrogate,15015,Method
Iec61850ServerType_InterrogateChannel,15016,Method
Iec61850ServerType_SyncClock,15017,Method
Iec61850ServerType_Select,15018,Method
Iec61850ServerType_Write,15019,Method
Iec61850ServerType_WriteParam,15020,Method
Iec61850ServerType_Host,15021,Variable
Iec61850ServerType_Port,15022,Variable
Iec60870ProtocolDataType,15023,DataType
Iec60870ProtocolDataType_EnumStrings,15024,Variable
Iec60870ModeDataType,15025,DataType
Iec60870ModeDataType_EnumStrings,15026,Variable
TelecontrolDevices_BinarySchema_NamespaceUri,15040,Variable
TelecontrolDevices_BinarySchema_Deprecated,15041,Variable
TelecontrolDevices_XmlSchema,15042,Variable
TelecontrolDevices_XmlSchema_DataTypeVersion,15043,Variable
TelecontrolDevices_XmlSchema_NamespaceUri,15044,Variable
TelecontrolDevices_XmlSchema_Deprecated,15045,Variable
